SSN;File;Priority;Line;Description;Rule set;Rule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;244;Do not use global event variable keyCode in method move, move is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;246;Do not use global event variable keyCode in method move, move is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;248;Avoid empty if statements;Empty Code;EmptyIfStmt
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;264;Field eating has the same name as a method;Naming;AvoidFieldNameMatchingMethodName
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;271;The method display is too long, 37 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;31;The method draw is too long, 30 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;39;Do not use literals for pixels for arc(float*, float*, float, float, float, float) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;40;Do not use literals for pixels for arc(float*, float*, float, float, float, float) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;41;Do not use literals for pixels for arc(float*, float*, float, float, float, float) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;42;Do not use literals for pixels for rect(float*, float*, float, float) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;59;Do not use literals for pixels for text(char, float*, float*) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;64;Do not change global variable score from method draw, draw is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;67;Do not use literals for pixels for text(char, float*, float*) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;68;Do not use literals for pixels for text(char, float*, float*) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;70;Do not change global variable score from method draw, draw is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;75;Avoid variables with short names like cx;Naming;ShortVariable
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;76;Avoid variables with short names like cy;Naming;ShortVariable
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;1;2;Variables should start with a lowercase character, 'B' starts with uppercase character.;Naming;VariableNamingConventions
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;1;3;Variables should start with a lowercase character, 'W' starts with uppercase character.;Naming;VariableNamingConventions
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;3;136;Do not use literals for pixels for rect(float*, float*, float, float) inside method display.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;3;2;Avoid variables with short names like B;Naming;ShortVariable
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;3;35;Avoid variables with short names like bX;Naming;ShortVariable
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;3;35;Avoid variables with short names like bY;Naming;ShortVariable
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;3;3;Avoid variables with short names like W;Naming;ShortVariable
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;3;92;Deeply nested if..then statements are hard to read;Design;AvoidDeeplyNestedIfStmts
s2159767;Tutorial2018/s249030dir/genJava/source/P4WCIprojectin1file.pde;3;99;Deeply nested if..then statements are hard to read;Design;AvoidDeeplyNestedIfStmts
s2114488;Tutorial2018/s248829dir/genJava/source/P4WCIprojectin1file.pde;3;107;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2114488;Tutorial2018/s248829dir/genJava/source/P4WCIprojectin1file.pde;3;119;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2114488;Tutorial2018/s248829dir/genJava/source/P4WCIprojectin1file.pde;3;136;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2114488;Tutorial2018/s248829dir/genJava/source/P4WCIprojectin1file.pde;3;17;Do not use global event variable mouseX in method draw, draw is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2114488;Tutorial2018/s248829dir/genJava/source/P4WCIprojectin1file.pde;3;3;Avoid variables with short names like b1;Naming;ShortVariable
s2114488;Tutorial2018/s248829dir/genJava/source/P4WCIprojectin1file.pde;3;43;Field smoke has the same name as a method;Naming;AvoidFieldNameMatchingMethodName
s2114488;Tutorial2018/s248829dir/genJava/source/P4WCIprojectin1file.pde;3;4;Avoid variables with short names like b2;Naming;ShortVariable
s2114488;Tutorial2018/s248829dir/genJava/source/P4WCIprojectin1file.pde;3;85;Do not use global event variable mouseX in method display, display is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2129736;Tutorial2018/s249430dir/genJava/source/P4WCIprojectin1file.pde;3;112;Do not use global event variable mouseButton in method pressMouse, pressMouse is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2129736;Tutorial2018/s249430dir/genJava/source/P4WCIprojectin1file.pde;3;171;Avoid empty if statements;Empty Code;EmptyIfStmt
s2129736;Tutorial2018/s249430dir/genJava/source/P4WCIprojectin1file.pde;3;28;The method display is too long, 49 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2129736;Tutorial2018/s249430dir/genJava/source/P4WCIprojectin1file.pde;3;2;Avoid variables with short names like h1;Naming;ShortVariable
s2129736;Tutorial2018/s249430dir/genJava/source/P4WCIprojectin1file.pde;3;94;The method pressMouse is too long, 55 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2129736;Tutorial2018/s249430dir/genJava/source/P4WCIprojectin1file.pde;3;95;Do not use global event variable mouseButton in method pressMouse, pressMouse is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2129736;Tutorial2018/s249430dir/genJava/source/P4WCIprojectin1file.pde;3;97;Do not use global event variable mouseX in method pressMouse, pressMouse is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2129736;Tutorial2018/s249430dir/genJava/source/P4WCIprojectin1file.pde;3;98;Do not use global event variable mouseY in method pressMouse, pressMouse is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2177498;Tutorial2018/s249123dir/genJava/source/P4WCIprojectin1file.pde;3;101;The method display is too long, 34 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2177498;Tutorial2018/s249123dir/genJava/source/P4WCIprojectin1file.pde;3;27;Do not use literals for pixels for rect(float*, float*, float, float) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2113333;Tutorial2018/s247716dir/genJava/source/P4WCIprojectin1file.pde;3;111;The method display is too long, 26 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2113333;Tutorial2018/s247716dir/genJava/source/P4WCIprojectin1file.pde;3;207;The method display is too long, 35 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2113333;Tutorial2018/s247716dir/genJava/source/P4WCIprojectin1file.pde;3;52;Do not use global event variable mouseX in method draw, draw is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2113333;Tutorial2018/s247716dir/genJava/source/P4WCIprojectin1file.pde;3;53;Do not change global variable released from method draw, draw is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2113333;Tutorial2018/s247716dir/genJava/source/P4WCIprojectin1file.pde;3;54;Do not use global event variable mouseX in method draw, draw is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2113333;Tutorial2018/s247716dir/genJava/source/P4WCIprojectin1file.pde;3;55;Do not change global variable released from method draw, draw is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2113333;Tutorial2018/s247716dir/genJava/source/P4WCIprojectin1file.pde;3;97;It is somewhat confusing to have a field name matching the declaring class name;Naming;AvoidFieldNameMatchingTypeName
s1981552;Tutorial2018/s249239dir/genJava/source/P4WCIprojectin1file.pde;1;51;Variables should start with a lowercase character, 'SX' starts with uppercase character.;Naming;VariableNamingConventions
s1981552;Tutorial2018/s249239dir/genJava/source/P4WCIprojectin1file.pde;1;51;Variables should start with a lowercase character, 'SY' starts with uppercase character.;Naming;VariableNamingConventions
s1981552;Tutorial2018/s249239dir/genJava/source/P4WCIprojectin1file.pde;1;8;Variables should start with a lowercase character, 'Hoofden' starts with uppercase character.;Naming;VariableNamingConventions
s1981552;Tutorial2018/s249239dir/genJava/source/P4WCIprojectin1file.pde;3;37;Do not use global event variable mousePressed in method draw, draw is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s1981552;Tutorial2018/s249239dir/genJava/source/P4WCIprojectin1file.pde;3;39;Do not use global event variable mousePressed in method draw, draw is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s1981552;Tutorial2018/s249239dir/genJava/source/P4WCIprojectin1file.pde;3;51;Avoid variables with short names like SX;Naming;ShortVariable
s1981552;Tutorial2018/s249239dir/genJava/source/P4WCIprojectin1file.pde;3;51;Avoid variables with short names like SY;Naming;ShortVariable
s2186861;Tutorial2018/s249118dir/genJava/source/P4WCIprojectin1file.pde;1;2;Variables should start with a lowercase character, 'Spongebob' starts with uppercase character.;Naming;VariableNamingConventions
s2186861;Tutorial2018/s249118dir/genJava/source/P4WCIprojectin1file.pde;3;142;The method display is too long, 49 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2186861;Tutorial2018/s249118dir/genJava/source/P4WCIprojectin1file.pde;3;23;Do not use literals for pixels for rect(float*, float*, float, float) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2186861;Tutorial2018/s249118dir/genJava/source/P4WCIprojectin1file.pde;3;25;Do not use literals for pixels for ellipse(float*, float*, float, float) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2186861;Tutorial2018/s249118dir/genJava/source/P4WCIprojectin1file.pde;3;31;Do not use literals for pixels for rect(float*, float*, float, float) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2186861;Tutorial2018/s249118dir/genJava/source/P4WCIprojectin1file.pde;3;84;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2186861;Tutorial2018/s249118dir/genJava/source/P4WCIprojectin1file.pde;3;92;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2186861;Tutorial2018/s249118dir/genJava/source/P4WCIprojectin1file.pde;3;97;Avoid empty if statements;Empty Code;EmptyIfStmt
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;103;Variables should start with a lowercase character, 'EyesBig' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;104;Variables should start with a lowercase character, 'EyesSmall' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;118;Variables should start with a lowercase character, 'Yspeed' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;4;Variables should start with a lowercase character, 'LeafA' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;4;Variables should start with a lowercase character, 'LeafB' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;4;Variables should start with a lowercase character, 'LeafC' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;4;Variables should start with a lowercase character, 'LeafD' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;4;Variables should start with a lowercase character, 'LeafE' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;4;Variables should start with a lowercase character, 'LeafF' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;1;4;Variables should start with a lowercase character, 'LeafG' starts with uppercase character.;Naming;VariableNamingConventions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;100;This are very many attributes/global variables. Check if some of them should be local variables, or part of an object.;Code Size;TooManyFields
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;111;Avoid variables with short names like r;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;117;Avoid variables with short names like d;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;139;The method display is too long, 65 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;156;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;162;Avoid variables with short names like b;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;163;Avoid variables with short names like a;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;164;Avoid variables with short names like c;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;172;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;206;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;230;Avoid variables with short names like a;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;230;Avoid variables with short names like b;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;249;Avoid variables with short names like a;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;249;Avoid variables with short names like b;Naming;ShortVariable
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;57;Do not change global variable prevMil from method draw, draw is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2154900;Tutorial2018/s248454dir/genJava/source/P4WCIprojectin1file.pde;3;62;Do not use literals for pixels for text(char, float*, float*) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;1;100;Method names should not start with capital letters;Naming;MethodNamingConventions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;1;89;Method names should not start with capital letters;Naming;MethodNamingConventions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;101;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;106;Do not change global variable cloudspeed1 from method Dragondied, Dragondied is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;107;Do not change global variable cloudspeed2 from method Dragondied, Dragondied is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;172;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;180;Avoid variables with short names like d;Naming;ShortVariable
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;180;Do not use global event variable mouseX in method clean, clean is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;180;Do not use global event variable mouseY in method clean, clean is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;181;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;190;Field isDeaD has the same name as a method;Naming;AvoidFieldNameMatchingMethodName
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;1;Possible God class (WMC=55, ATFD=14, TCC=0.09803921568627451). A high ATFD value (Access To Foreign Data) means that a class (or main tab) does too much work for other classes.;Design;GodClass
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;225;Avoid variables with short names like s;Naming;ShortVariable
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;263;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;263;Do not use global event variable key in method fire, fire is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;265;Do not use global event variable key in method fire, fire is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;269;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;272;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method fire, fire is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;274;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method fire, fire is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;275;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method fire, fire is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;276;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method fire, fire is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;278;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method fire, fire is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;284;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;291;Do not use literals for pixels for text(char, float*, float*) inside method isDead.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;43;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;70;Do not change global variable cloud1Y from method backgroundClouds, backgroundClouds is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;72;Do not change global variable cloud1Y from method backgroundClouds, backgroundClouds is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;73;Do not change global variable cloud1X from method backgroundClouds, backgroundClouds is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
s2113422;Tutorial2018/s249073dir/genJava/source/P4WCIprojectin1file.pde;3;78;Do not change global variable cloud2Y from method backgroundClouds, backgroundClouds is part of the draw sequence.;Processing Ruleset;DrawingStateChangeRule
