@relation test

@attribute text string
@attribute ClassArff {correct,PixelHardcodeIgnoranceRule,LongMethodRule,SimplifyBooleanExpressions,IfElseStmtsMustUseBraces,VariableNamingConventions,DecentralizedEventHandlingRule,DrawingStateChangeRule,ShortVariable,TooManyFields,DecentralizedDrawingRule,EmptyIfStmt,AtLeastOneConstructor,LongParameterListRule,IfStmtsMustUseBraces,AvoidFieldNameMatchingMethodName,StdCyclomaticComplexity,AvoidFieldNameMatchingTypeName,EmptyStatementNotInLoop,StatelessClassRule,UncommentedEmptyConstructor,MethodNamingConventions,ForLoopsMustUseBraces,FieldDeclarationsShouldBeAtStartOfClass,UnusedFormalParameter,AvoidReassigningParameters,AvoidDeeplyNestedIfStmts,IdempotentOperations}

@data
'{    noStroke();    fill(149, 156, 168);    // Create head    beginShape();    vertex(characterX, characterY);    quadraticVertex(characterX + 20, characterY - 33, characterX + 65, characterY - 13);    bezierVertex(characterX + 68, characterY + 55, characterX + 63, characterY + 35, characterX - 8, characterY + 25);    endShape(CLOSE);    // Create object left next to head    beginShape();    vertex(characterX - 20, characterY);    quadraticVertex(characterX - 20, characterY - 18, characterX, characterY - 20);    bezierVertex(characterX - 5, characterY - 5, characterX - 10, characterY + 20, characterX - 20, characterY + 15);    endShape(CLOSE);    // Create jaw    beginShape();    vertex(characterX + 10, characterY + 50);    quadraticVertex(characterX - 15, characterY + 50, characterX, characterY + 30);    bezierVertex(characterX + 50, characterY + 63, characterX + 45, characterY + 40, characterX + 45, characterY + 54);    endShape(CLOSE);    // Draw torso    ellipse(characterX + 20, characterY + 70, 50, 30);    // Create lowest part of character    beginShape();    vertex(characterX + 17, characterY + 90);    quadraticVertex(characterX - 45, characterY + 77, characterX + 30, characterY + 91);    bezierVertex(characterX - 14, characterY + 109, characterX - 16, characterY + 105, characterX - 17, characterY + 78);    endShape(CLOSE);    if (newBeam == false) {        fill(149, 156, 168);        // Create left arm in active position        beginShape();        vertex(characterX + 50, characterY + 65);        quadraticVertex(characterX + 114, characterY + 45, characterX + 50, characterY + 65);        bezierVertex(characterX + 125, characterY + 14, characterX + 100, characterY + 63, characterX + 50, characterY + 65);        endShape(CLOSE);        // Create right arm in active position        beginShape();        vertex(characterX + 85, characterY + 60);        quadraticVertex(characterX + 105, characterY + 45, characterX + 95, characterY + 54);        bezierVertex(characterX + 104, characterY + 47, characterX + 81, characterY + 81, characterX + 71, characterY + 68);        endShape(CLOSE);    }    if (newBeam == true) {        fill(149, 156, 168);        // Create right arm in resting position        beginShape();        vertex(characterX + 48, characterY + 63);        quadraticVertex(characterX + 57, characterY + 75, characterX + 67, characterY + 102);        bezierVertex(characterX + 73, characterY + 118, characterX + 56, characterY + 131, characterX + 48, characterY + 63);        endShape(CLOSE);        // Create left arm in resting position        beginShape();        vertex(characterX - 5, characterY + 55);        quadraticVertex(characterX - 26, characterY + 37, characterX - 44, characterY + 37);        bezierVertex(characterX - 61, characterY + 29, characterX - 41, characterY + 53, characterX - 9, characterY + 58);        endShape(CLOSE);    }    noStroke();    fill(255);    // Create teeth    arc(characterX + 25, characterY + 35, 7, 15, 0, PI + 0.3f, CHORD);    arc(characterX + 51, characterY + 37, 7, 15, 0, PI, CHORD);    arc(characterX + 38, characterY + 45, 9, 17, PI, TWO_PI + 0.2f, CHORD);}',LongMethodRule
'characterY + 102',correct
'vertex(randomX - 12, randomY - 4)',correct
'0.2f',correct
'false',correct
'bezierVertex(characterX - 14, characterY + 109, characterX - 16, characterY + 105, characterX - 17, characterY + 78)',correct
'endShape(CLOSE);',correct
'bezierVertex(characterX + 68, characterY + 55, characterX + 63, characterY + 35, characterX - 8, characterY + 25)',correct
'line(characterX + 22, characterY + 5, characterX + 33, characterY + 5);',correct
'arraySmallStar[i].display()',correct
'// Display the beam when the mouse is pressedif (!newBeam) {    noStroke();    colorMode(HSB);    // Color changes over time to create a rainbow effect    if (rainbowcolor >= 255)        rainbowcolor = 0;    else        rainbowcolor++;    rainbowcolor++;    {        fill(rainbowcolor, 255, 255);    }    triangle(characterX + 100, characterY + 48, width + random(0, 300), characterY + 48 + 20, width + random(0, 300), characterY + 48 - 20);}',correct
'// Move object when mouse movesbody1.move(mouseX, mouseY);',correct
'blinkCounter >= 190',correct
'int blinkCounter;',correct
'void display() {    if (isOpen) {        noStroke();        fill(255);        // Create eye when open        arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);        arc(characterX + 28, characterY + 11, 14, 30, PI, TWO_PI);        fill(0);        ellipse(characterX + 52, characterY + 5, 7, 9);        ellipse(characterX + 30, characterY + 5, 7, 9);    } else {        noStroke();        fill(255);        // Create eye when closed        arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);        arc(characterX + 28, characterY + 11, 14, 30, PI, TWO_PI);        strokeWeight(3);        stroke(0);        line(characterX + 55, characterY + 5, characterX + 44, characterY + 5);        line(characterX + 22, characterY + 5, characterX + 33, characterY + 5);    }}',correct
'setup',correct
'characterY + 109',correct
'arc(characterX + 38, characterY + 45, 9, 17, PI, TWO_PI + 0.2f, CHORD)',correct
'characterY + 105',correct
'i = 0',correct
'{    // Move object    characterX = mouseX_;    characterY = mouseY_;}',correct
'// Color changes over time to create a rainbow effectif (rainbowcolor >= 255)    rainbowcolor = 0;else    rainbowcolor++;',correct
'characterX - 14',correct
'characterX + 71',correct
'characterX - 10',correct
'characterX + 73',correct
'0.3f',correct
'bezierVertex(characterX - 14, characterY + 109, characterX - 16, characterY + 105, characterX - 17, characterY + 78);',correct
'characterX - 16',correct
'random(0, 300)',correct
'characterX - 15',correct
'characterX - 17',correct
'{    // Make the stars move to the left at a constant speed    if (starmovement >= 255)        starmovement = 0;    else        starmovement++;    starmovement++;    {        randomX = randomX - 1;    }    if (randomX <= -8) {        randomX = width;    }}',correct
'beam1.move(mouseX, mouseY);',correct
'colorMode(HSB);',correct
'vertex(randomX, randomY - 6)',correct
'vertex(characterX + 48, characterY + 63);',correct
'vertex(randomX - 2, randomY - 3);',correct
'characterX + 81',correct
'bezierVertex(characterX - 61, characterY + 29, characterX - 41, characterY + 53, characterX - 9, characterY + 58);',correct
'void move(float mouseX_, float mouseY_) {    // Make the eyes move with the object    characterX = mouseX_;    characterY = mouseY_;}',correct
'characterX + 65',correct
'characterX + 67',correct
'vertex(randomX, randomY + 6);',correct
'arrayBigStar[i] = new bigStar(random(0, 1000), random(0, 1000))',correct
'characterX + 63',correct
'Body(float initX, float initY) {    characterX = initX;    characterY = initY;}',correct
'characterX + 68',correct
'float starmovement;',correct
'line(characterX + 55, characterY + 5, characterX + 44, characterY + 5);',correct
'// If no key has been pressed show a start screenif (stage == 0) {    background(3, 16, 38);    textAlign(CENTER);    textSize(35);    text("PRESS ANY KEY TO SEE THE MAJESTIC BEAST", 500, 500);    textSize(15);    text("Hint: Try pressing the mouse to see what it can do", 500, 530);    if (keyPressed == true) {        stage = 1;    }}',correct
'noStroke();',correct
'randomX + 12',correct
'beginShape()',correct
'arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI)',correct
'randomY = initY',correct
'quadraticVertex(characterX + 105, characterY + 45, characterX + 95, characterY + 54)',correct
'blinkCounter = 0',correct
'isOpen = true',correct
'characterY + 131',correct
'characterX + 95',correct
'bezierVertex(characterX + 50, characterY + 63, characterX + 45, characterY + 40, characterX + 45, characterY + 54);',correct
'newBeam = true',correct
'bezierVertex(characterX + 125, characterY + 14, characterX + 100, characterY + 63, characterX + 50, characterY + 65);',correct
'quadraticVertex(characterX + 20, characterY - 33, characterX + 65, characterY - 13);',correct
'{    fill(149, 156, 168);    // Create left arm in active position    beginShape();    vertex(characterX + 50, characterY + 65);    quadraticVertex(characterX + 114, characterY + 45, characterX + 50, characterY + 65);    bezierVertex(characterX + 125, characterY + 14, characterX + 100, characterY + 63, characterX + 50, characterY + 65);    endShape(CLOSE);    // Create right arm in active position    beginShape();    vertex(characterX + 85, characterY + 60);    quadraticVertex(characterX + 105, characterY + 45, characterX + 95, characterY + 54);    bezierVertex(characterX + 104, characterY + 47, characterX + 81, characterY + 81, characterX + 71, characterY + 68);    endShape(CLOSE);}',SimplifyBooleanExpressions
'smallStar[]',correct
'{    arraySmallStar[i].display();    arraySmallStar[i].move();}',correct
'// Create teetharc(characterX + 25, characterY + 35, 7, 15, 0, PI + 0.3f, CHORD);',correct
'starmovement++',correct
'{    characterX = initX;    characterY = initY;    isOpen = true;    blinkCounter = 0;}',correct
'characterX - 20',correct
'characterX + 85',correct
'vertex(randomX - 8, randomY + 10)',correct
'Text',correct
'{    randomX = randomX - 1;}',IfElseStmtsMustUseBraces
'draw',correct
'characterX - 26',correct
'blinkCounter++;',correct
'quadraticVertex(characterX - 20, characterY - 18, characterX, characterY - 20);',correct
'vertex(randomX - 6, randomY + 2);',correct
'quadraticVertex(characterX - 45, characterY + 77, characterX + 30, characterY + 91);',correct
'bezierVertex(characterX - 61, characterY + 29, characterX - 41, characterY + 53, characterX - 9, characterY + 58)',correct
'rainbowcolor = 0',correct
'vertex(randomX - 2, randomY - 3)',correct
'characterX = mouseX_',correct
'vertex(characterX + 85, characterY + 60)',correct
'randomX = initX',correct
'void setup() {    // Set up arrays and objects    for (int i = 0; i < 30; i++) {        arrayBigStar[i] = new bigStar(random(0, 1000), random(0, 1000));    }    for (int i = 0; i < 30; i++) {        arraySmallStar[i] = new smallStar(random(0, 1000), random(0, 1000));    }    body1 = new Body(300, 300);    eyes = new Eye(300, 300);    beam1 = new Beam(300, 300);    noCursor();    newBeam = true;}',correct
'stage = 1',correct
'starmovement',correct
'mousePressed',correct
'stage = 0',correct
'vertex(randomX, randomY - 12);',correct
'boolean isOpen;',correct
'{    // Move object when mouse moves    body1.move(mouseX, mouseY);    eyes.move(mouseX, mouseY);    beam1.move(mouseX, mouseY);}',correct
'strokeWeight(3)',correct
'quadraticVertex(characterX + 114, characterY + 45, characterX + 50, characterY + 65)',correct
'beam1 = new Beam(300, 300);',correct
'{    noStroke();    fill(255, 190, 127);    // Create the star    beginShape();    vertex(randomX, randomY - 6);    vertex(randomX + 2, randomY - 3);    vertex(randomX + 6, randomY - 2);    vertex(randomX + 3, randomY + 1);    vertex(randomX + 4, randomY + 5);    vertex(randomX, randomY + 3);    vertex(randomX - 4, randomY + 5);    vertex(randomX - 3, randomY + 1);    vertex(randomX - 6, randomY - 2);    vertex(randomX - 2, randomY - 3);    endShape(CLOSE);}',correct
'characterX - 61',correct
'{    // Timer to change eye from open to closed and back    if (blinkCounter < 180) {        blinkCounter++;        isOpen = true;    } else if (blinkCounter >= 180 && blinkCounter < 190) {        isOpen = false;        blinkCounter++;    } else if (blinkCounter >= 190) {        blinkCounter = 0;    }}',correct
'quadraticVertex(characterX + 57, characterY + 75, characterX + 67, characterY + 102)',correct
'starmovement >= 255',correct
'characterX - 45',correct
'characterX - 44',correct
'rainbowcolor = 0;',correct
'// Set up arrays and objectsfor (int i = 0; i < 30; i++) {    arrayBigStar[i] = new bigStar(random(0, 1000), random(0, 1000));}',correct
'void',correct
'characterX - 41',correct
'vertex(randomX - 6, randomY - 2)',correct
'{    randomX = width;}',correct
'-8',correct
'beam1.display();',correct
'// Display objectsbody1.display();',correct
'starmovement = 0;',correct
'true',correct
'characterY = mouseY_',correct
'if (randomX <= -8) {    randomX = width;}',correct
'randomX',correct
'class Eye {    float characterX;    float characterY;    boolean isOpen;    int blinkCounter;    Eye(float initX, float initY) {        characterX = initX;        characterY = initY;        isOpen = true;        blinkCounter = 0;    }    void display() {        if (isOpen) {            noStroke();            fill(255);            // Create eye when open            arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);            arc(characterX + 28, characterY + 11, 14, 30, PI, TWO_PI);            fill(0);            ellipse(characterX + 52, characterY + 5, 7, 9);            ellipse(characterX + 30, characterY + 5, 7, 9);        } else {            noStroke();            fill(255);            // Create eye when closed            arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);            arc(characterX + 28, characterY + 11, 14, 30, PI, TWO_PI);            strokeWeight(3);            stroke(0);            line(characterX + 55, characterY + 5, characterX + 44, characterY + 5);            line(characterX + 22, characterY + 5, characterX + 33, characterY + 5);        }    }    void update() {        // Timer to change eye from open to closed and back        if (blinkCounter < 180) {            blinkCounter++;            isOpen = true;        } else if (blinkCounter >= 180 && blinkCounter < 190) {            isOpen = false;            blinkCounter++;        } else if (blinkCounter >= 190) {            blinkCounter = 0;        }    }    void move(float mouseX_, float mouseY_) {        // Make the eyes move with the object        characterX = mouseX_;        characterY = mouseY_;    }}',correct
'randomY',correct
'arraySmallStar[i].move();',correct
'{    noStroke();    fill(255);    // Create eye when open    arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);    arc(characterX + 28, characterY + 11, 14, 30, PI, TWO_PI);    fill(0);    ellipse(characterX + 52, characterY + 5, 7, 9);    ellipse(characterX + 30, characterY + 5, 7, 9);}',correct
'fill(149, 156, 168);',correct
'{    background(3, 16, 38);    textAlign(CENTER);    textSize(35);    text("PRESS ANY KEY TO SEE THE MAJESTIC BEAST", 500, 500);    textSize(15);    text("Hint: Try pressing the mouse to see what it can do", 500, 530);    if (keyPressed == true) {        stage = 1;    }}',correct
'// Create left arm in active positionbeginShape();',correct
'vertex(randomX - 4, randomY - 5)',correct
'vertex(randomX + 3, randomY + 1);',correct
'characterY + 48 - 20',correct
'quadraticVertex(characterX - 15, characterY + 50, characterX, characterY + 30)',correct
'timer',correct
'randomY = initY;',correct
'Body',correct
'vertex(randomX - 4, randomY + 5);',correct
'isOpen = false;',correct
'bigStar(float initX, float initY) {    randomX = initX;    randomY = initY;}',correct
'{    isOpen = false;    blinkCounter++;}',correct
'// Create left arm in resting positionbeginShape();',correct
'{    // When mousepressed newBeam should be false    newBeam = false;}',correct
'{    fill(149, 156, 168);    // Create right arm in resting position    beginShape();    vertex(characterX + 48, characterY + 63);    quadraticVertex(characterX + 57, characterY + 75, characterX + 67, characterY + 102);    bezierVertex(characterX + 73, characterY + 118, characterX + 56, characterY + 131, characterX + 48, characterY + 63);    endShape(CLOSE);    // Create left arm in resting position    beginShape();    vertex(characterX - 5, characterY + 55);    quadraticVertex(characterX - 26, characterY + 37, characterX - 44, characterY + 37);    bezierVertex(characterX - 61, characterY + 29, characterX - 41, characterY + 53, characterX - 9, characterY + 58);    endShape(CLOSE);}',SimplifyBooleanExpressions
'void move() {    // Make the stars move to the left at a constant speed    if (starmovement >= 255)        starmovement = 0;    else        starmovement++;    starmovement++;    {        randomX = randomX - 1;    }    if (randomX <= -8) {        randomX = width;    }}',correct
'background(3, 16, 38)',correct
'blinkCounter < 180',correct
'{    characterX = initX;    characterY = initY;}',correct
'fill(149, 156, 168)',correct
'random(0, 1000)',correct
'Beam beam1;',correct
'"Hint: Try pressing the mouse to see what it can do"',correct
'class Body {    float characterX;    float characterY;    Body(float initX, float initY) {        characterX = initX;        characterY = initY;    }    void display() {        noStroke();        fill(149, 156, 168);        // Create head        beginShape();        vertex(characterX, characterY);        quadraticVertex(characterX + 20, characterY - 33, characterX + 65, characterY - 13);        bezierVertex(characterX + 68, characterY + 55, characterX + 63, characterY + 35, characterX - 8, characterY + 25);        endShape(CLOSE);        // Create object left next to head        beginShape();        vertex(characterX - 20, characterY);        quadraticVertex(characterX - 20, characterY - 18, characterX, characterY - 20);        bezierVertex(characterX - 5, characterY - 5, characterX - 10, characterY + 20, characterX - 20, characterY + 15);        endShape(CLOSE);        // Create jaw        beginShape();        vertex(characterX + 10, characterY + 50);        quadraticVertex(characterX - 15, characterY + 50, characterX, characterY + 30);        bezierVertex(characterX + 50, characterY + 63, characterX + 45, characterY + 40, characterX + 45, characterY + 54);        endShape(CLOSE);        // Draw torso        ellipse(characterX + 20, characterY + 70, 50, 30);        // Create lowest part of character        beginShape();        vertex(characterX + 17, characterY + 90);        quadraticVertex(characterX - 45, characterY + 77, characterX + 30, characterY + 91);        bezierVertex(characterX - 14, characterY + 109, characterX - 16, characterY + 105, characterX - 17, characterY + 78);        endShape(CLOSE);        if (newBeam == false) {            fill(149, 156, 168);            // Create left arm in active position            beginShape();            vertex(characterX + 50, characterY + 65);            quadraticVertex(characterX + 114, characterY + 45, characterX + 50, characterY + 65);            bezierVertex(characterX + 125, characterY + 14, characterX + 100, characterY + 63, characterX + 50, characterY + 65);            endShape(CLOSE);            // Create right arm in active position            beginShape();            vertex(characterX + 85, characterY + 60);            quadraticVertex(characterX + 105, characterY + 45, characterX + 95, characterY + 54);            bezierVertex(characterX + 104, characterY + 47, characterX + 81, characterY + 81, characterX + 71, characterY + 68);            endShape(CLOSE);        }        if (newBeam == true) {            fill(149, 156, 168);            // Create right arm in resting position            beginShape();            vertex(characterX + 48, characterY + 63);            quadraticVertex(characterX + 57, characterY + 75, characterX + 67, characterY + 102);            bezierVertex(characterX + 73, characterY + 118, characterX + 56, characterY + 131, characterX + 48, characterY + 63);            endShape(CLOSE);            // Create left arm in resting position            beginShape();            vertex(characterX - 5, characterY + 55);            quadraticVertex(characterX - 26, characterY + 37, characterX - 44, characterY + 37);            bezierVertex(characterX - 61, characterY + 29, characterX - 41, characterY + 53, characterX - 9, characterY + 58);            endShape(CLOSE);        }        noStroke();        fill(255);        // Create teeth        arc(characterX + 25, characterY + 35, 7, 15, 0, PI + 0.3f, CHORD);        arc(characterX + 51, characterY + 37, 7, 15, 0, PI, CHORD);        arc(characterX + 38, characterY + 45, 9, 17, PI, TWO_PI + 0.2f, CHORD);    }    void move(float mouseX_, float mouseY_) {        // Move object        characterX = mouseX_;        characterY = mouseY_;    }}',correct
'characterX + 100',correct
'mouseDragged',correct
'vertex(randomX + 8, randomY + 10)',correct
'{    fill(rainbowcolor, 255, 255);}',correct
'characterY + 81',correct
'bezierVertex(characterX + 73, characterY + 118, characterX + 56, characterY + 131, characterX + 48, characterY + 63);',correct
'characterX + 104',correct
'void mouseReleased() {    // When mouse is not pressed newBeam should be true    newBeam = true;}',correct
'vertex(characterX, characterY)',correct
'characterY + 48 + 20',correct
'blinkCounter < 190',correct
'characterY - 18',correct
'Eye',correct
'// Classes for objectsBody body1;',correct
'characterX + 105',correct
'characterY + 75',correct
'fill(rainbowcolor, 255, 255);',correct
'mouseMoved',correct
'float timer;',correct
'characterY + 77',correct
'eyes.display();',correct
'vertex(characterX - 20, characterY);',correct
'width + random(0, 300)',correct
'characterY + 78',correct
'characterY - 13',correct
'eyes.update();',correct
'characterY + 91',correct
'characterY + 90',correct
'vertex(characterX + 10, characterY + 50)',correct
'arrayBigStar = new bigStar[30]',correct
'vertex(randomX - 8, randomY + 10);',correct
'void mouseMoved() {    // Move object when mouse moves    body1.move(mouseX, mouseY);    eyes.move(mouseX, mouseY);    beam1.move(mouseX, mouseY);}',correct
'new bigStar[30]',correct
'{    // When mouse is not pressed newBeam should be true    newBeam = true;}',correct
'vertex(randomX + 3, randomY + 1)',correct
'starmovement++;',IfElseStmtsMustUseBraces
'class bigStar {    float randomX;    float randomY;    float starmovement;    bigStar(float initX, float initY) {        randomX = initX;        randomY = initY;    }    void display() {        noStroke();        fill(255, 190, 127);        // Create the star        beginShape();        vertex(randomX, randomY - 12);        vertex(randomX + 3, randomY - 5);        vertex(randomX + 12, randomY - 4);        vertex(randomX + 6, randomY + 2);        vertex(randomX + 8, randomY + 10);        vertex(randomX, randomY + 6);        vertex(randomX - 8, randomY + 10);        vertex(randomX - 6, randomY + 2);        vertex(randomX - 12, randomY - 4);        vertex(randomX - 4, randomY - 5);        endShape(CLOSE);    }    void move() {        // Make the stars move to the left at a constant speed        if (starmovement >= 255)            starmovement = 0;        else            starmovement++;        starmovement++;        {            randomX = randomX - 2;        }        if (randomX <= -8) {            randomX = width;        }    }}',correct
'float rainbowcolor;',correct
'characterY - 20',correct
'vertex(randomX + 2, randomY - 3);',correct
'characterX + 10',correct
'{    arrayBigStar[i].display();    arrayBigStar[i].move();}',correct
'characterY + 60',correct
'randomX = width',correct
'vertex(characterX + 17, characterY + 90)',correct
'characterX + 17',correct
